"Transaction Start Date","Agent","Chat Duration","Teams","Session Name","Chat Closed By","Interactive Chat","Browser","Operating System","Geo","Response Time of Agent","Response time of Visitor","Transaction End Date","Customer Rating","Customer Comment","Transferred Chat","Customer Wait Time","Text"
"6/8/2018 23:59","Zaha","0:18:22","Mobile Service Team","Session:2057187615:23360","Customer","1","Edge 16.16299","Windows-10","Sweden","0:01:02","0:00:43","7/8/2018 0:18"," "," ","","0:00:01","I would really like to know the criteria which TA uses for deleting these sorts of posts."
"6/8/2018 23:59","Berenice","0:03:05","Mobile Technical Team","Session:2057187614:23368","Representative","","Edge","Windows","Australia","0:00:00","0:00:00","7/8/2018 0:02"," "," ","1","0:01:01",""
"6/8/2018 23:59","Madi","0:22:33","Mobile Service Team","Session:2057187615:23358","Customer","1","c~67.0.3396.87","Android-4.3","Australia","0:00:32","0:01:28","7/8/2018 0:26"," "," ","","0:00:01",""
"6/8/2018 23:59","Rose","0:38:20","Mobile Service Team","Session:2057187616:18361","System","1","Other","11.4.1","null","0:00:37","0:01:18","7/8/2018 0:38"," "," ","","0:00:01"," Just wondered which airline would give any sort of space for my knees in Economy. "
"6/8/2018 23:59","Sarrah","0:11:50","Fixed Service Team","Session:2057187617:2598","Representative","1","Other","Android 8.1.0","null","0:00:21","0:00:38","7/8/2018 0:14"," "," ","","0:00:01","Do they offer lunch or should we eat outside?"
"6/8/2018 23:59","Aden","0:08:36","Mobile Service Team","Session:2057187648:23249","System","1","Other","10.3.2","null","0:00:33","0:01:39","7/8/2018 0:08"," "," ","","0:00:01","When I have received my online ticket my surname is correct but my first name is my first and middle added together without a space. Is this normal "
"6/8/2018 23:59","Vinson","0:17:03","Sales Team","Session:2057187647:23262","Customer","1","Chrome","MacOS","Australia","0:01:07","0:01:07","7/8/2018 0:21"," "," ","","0:00:01","will we be classed as transit passengers and therefore be able to use the transit hotel?"
"6/8/2018 23:59","Alka","0:40:50","Mobile Service Team","Session:2057187640:2589","Customer","1","Other","11.4.1","null","0:00:43","0:00:34","7/8/2018 0:41"," "," ","","0:00:01",""
"6/8/2018 23:59","Jason","0:00:03","Sales Team","Session:2057187618:23295","Customer","","IE 11.0","Windows-10","Australia"," "," ","6/8/2018 23:59"," "," ","","0:00:00",""
"6/8/2018 23:59","Noel","0:03:05","Mobile Service Team","Session:2057187647:23260","Representative","","mobile_safari~11","iOS-11.3","Philippines","0:00:00","0:00:00","7/8/2018 0:02"," "," ","","0:00:00","We are using Delta Skymiles to fly from Atlanta to Cairo and have the option of flights by Air France to Paris, KLM to Amsterdam and Delta to Rome Any comments on these airline Atlantic crossings in business first--lay flat beds, pods, older configurations?"
"6/8/2018 23:59","Titos","0:14:23","Mobile Service Team","Session:2057187615:23351","Customer","1","Other","11.4.1","null","0:00:56","0:01:06","7/8/2018 0:14"," "," ","","0:00:01",""
"6/8/2018 23:59","Kim","0:06:24","Mobile Service Team","Session:2057187615:23349","Customer","1","Other","11.3","null","0:00:22","0:00:24","7/8/2018 0:05"," "," ","","0:00:01",""
"6/8/2018 23:58","Able","0:27:25","Mobile Service Team","Session:2057187618:23287","Customer","1","Safari","MacOS","Australia","0:00:37","0:00:32","7/8/2018 0:26"," "," ","","0:00:00","My question is if I need to reclaim my luggage at each stopover and check it in again or will it simply just be transferred to the next flight?"
"6/8/2018 23:58","Marie","0:06:50","Mobile Service Team","Session:2057187615:23344","Customer","1","Other","11.4.1","null","0:00:22","0:00:13","7/8/2018 0:05"," "," ","","0:00:01","Can anyone please share their experiences with this airline and this class of seats? Are the planes new, safe, reliable? "
"6/8/2018 23:58","Drugi","0:02:05","Mobile Service Team","Session:2057187615:23341","System","","Other","Android 7.1.1","null","0:00:00","0:00:00","7/8/2018 0:00"," "," ","","0:00:02",""
"6/8/2018 23:58","Patt","0:11:02","Mobile Service Team","Session:2057187614:23362","Representative","1","mobile_safari~11","iOS-11.4.1","Australia","0:00:22","0:00:43","7/8/2018 0:12","10","Yes Resolved","","0:00:01","They know they have to change terminals at LHR but will the luggage go straight through?"
"6/8/2018 23:58","Sarah","0:49:29","Sales Team","Session:2057187648:23221","Customer","1","Chrome","Windows","Australia","0:00:22","0:00:45","7/8/2018 0:47","8","No question","","0:00:00"," I just changed my seats to the upstairs after reading some reviews. I need to know if we are the last ones off the plane "
"6/8/2018 23:57","Lavinia","0:09:22","Mobile Technical Team","Session:2057187648:23219","Representative","1","c~40.0.2214.109","Android-4.4.2","Australia","0:01:40","0:01:39","7/8/2018 0:07"," "," ","","0:00:00","We're flying business class with Malaysia airlines into Bangkok Can anyone tell me whether we'd be able to use the Malaysia Airlines lounge at Bangkok whilst we wait. "
"6/8/2018 23:57","Nicole","0:28:18","Sales Team","Session:2057187615:23320","System","1","c~68.0.3440.85","Android-5.0.2","Australia","0:00:41","0:02:39","7/8/2018 0:26"," "," ","","0:00:00","W"
"6/8/2018 23:57","Muthuluri","1:01:51","Sales Team","Session:2057187647:23226","Customer","1","Other","Android 8.0.0","null","0:00:41","0:00:33","7/8/2018 1:03","10","Yes Resolved","1","0:00:00","I know it states that u should always get travel socks going by your shoe size but what compression rating is the best "
"6/8/2018 23:57","Pamera","0:46:57","Sales Team","Session:2057187647:23224","Customer","1","Other","11.4","null","0:00:51","0:00:35","7/8/2018 0:46","10","No question","1","0:01:30","Is free beer/spirits still supplied free of charge when travelling in Economy on transatlantic flights?"
"6/8/2018 23:57","Titian","0:07:26","Mobile Technical Team","Session:2057187615:23309","Representative","1","Other","Android 6.0.1","null","0:00:56","0:00:17","7/8/2018 0:05"," "," ","","0:00:01","I am planning a tour to US from UK during winter holidays. I need to know whether I can transit through any other country without having the visa of that particular country "
"6/8/2018 23:57","Lisa","0:04:06","Sales Team","Session:2057187614:23338","Representative","","Other","Linux","Australia","0:00:00","0:00:00","7/8/2018 0:01"," "," ","","0:00:00","I want to upgrade from biz to first with Emirates for a flight in October."
"6/8/2018 23:56","Ethan","0:00:15","Sales Team","Session:2057187648:23199","Customer","","s~11.1.2","Mac OS-10.13.6","Australia","0:00:00","0:00:00","6/8/2018 23:57"," "," ","","0:00:00","We have booked with Olympic Holidays Anyone heard much about them? What is their record like for punctuality and what are their planes like? "
"6/8/2018 23:56","Alona","0:09:15","Mobile Service Team","Session:2057187647:23214","System","1","Other","11.2.1","null","0:00:35","0:00:28","7/8/2018 0:07"," "," ","","0:00:00","I am planning a trip to east coast of USA . Does anyone know which airline offers premium economy? "
"6/8/2018 23:56","Charlie","0:22:57","Sales Team","Session:2057187618:23245","System","1","Other","Linux","Australia","0:00:26","0:01:18","7/8/2018 0:25"," "," ","","0:00:00","What is your favorite airline for flying from Europe to South Africa? What are your reasons?"
"6/8/2018 23:56","Noni","0:46:14","Mobile Service Team","Session:2057187647:23210","Customer","1","c~67.0.3396.99","Windows-10","Australia","0:01:30","0:02:29","7/8/2018 0:44","2","Did Not Resolve","1","0:00:02","Will be staying in the Hilton Garden Inn and was wondering if shuttle from hotel will leave me at the right terminal? "
"6/8/2018 23:56","Vinson","0:01:30","Sales Team","Session:2057187647:23209","System","","Mobile Safari 11.0","iOS-11.4.1","Australia","0:00:00","0:00:00","6/8/2018 23:59"," "," ","","0:00:02",""
"6/8/2018 23:56","Gabrie","0:12:35","Mobile Technical Team","Session:2057187616:18319","Representative","1","Other","MacOS","Australia","0:00:28","0:01:04","7/8/2018 0:09"," "," ","1","0:01:00","I don't want to spend more than $1100/ticket. "
"6/8/2018 23:56","Lauran","0:15:08","Fixed Service Team","Session:2057187618:23242","Customer","1","c~68.0.3440.85","Android-8.0","Australia","0:01:06","0:00:54","7/8/2018 0:14"," ","Not sure","","0:00:00",""
"6/8/2018 23:56","Decimus","0:24:53","Mobile Service Team","Session:2057187616:18325","Representative","1","mobile_safari~11","iOS-11.4","Australia","0:01:09","0:00:58","7/8/2018 0:21"," "," ","1","0:00:02","Can anyone advise on Finnair's in flight entertainment. "
"6/8/2018 23:56","Guida","0:10:55","Mobile Service Team","Session:2057187647:23201","System","1","Other","11.3","null","0:00:14","0:00:13","7/8/2018 0:21"," "," ","","0:00:01","I recently purchased a reservation through Priceline. It is a multi-airline itinerary starting in Washington (DCA) to New York (JFK) to Sao Paulo (GRU) ending in Buenos Aires (EZE).  Will American Airlines, when I check in at the DCA counter, print all of my boarding passes for my trip? "
"6/8/2018 23:55","Mel","0:11:41","Mobile Service Team","Session:2057187617:2572","Customer","1","Other","11.4","null","0:00:59","0:00:34","7/8/2018 0:09"," "," ","","0:00:01","does the gender appear on the boarding pass? "
"6/8/2018 23:55","Hayley","0:52:20","Mobile Service Team","Session:2057187647:23196","Customer","1","Firefox","Windows","Australia","0:00:35","0:01:14","7/8/2018 1:06"," "," ","","0:00:01","can I get stuck flying Frontier or is those tools only for major carriers United/AA/Delta?"
"6/8/2018 23:55","Fiona","0:03:05","Mobile Service Team","Session:2057187615:23285","Representative","","Other","MacOS","null","0:00:00","0:00:00","6/8/2018 23:58"," "," ","","0:00:00","from 1st november ryanair will start charging you if you use prepaid cardsIs there any truth in this ?"
"6/8/2018 23:55","Catriona","0:05:03","Mobile Technical Team","Session:2057187618:23220","Customer","1","Other","Android 7.0","null","0:00:54","0:01:29","7/8/2018 0:04"," "," ","","0:00:01",""
"6/8/2018 23:55","Neil","0:28:47","Fixed Technical Team","Session:2057187618:23219","Representative","1","c~68.0.3440.84","Windows-10","Australia","0:01:38","0:01:32","7/8/2018 0:24"," "," ","","0:00:01","Has anyone traveled on the ""new"" Dreamliner."
"6/8/2018 23:55","Gene","1:17:15","Mobile Service Team","Session:2057187617:2565","Representative","1","c~67.0.3396.87","Android-8.0","Germany","0:00:54","0:00:46","7/8/2018 1:12"," "," ","1","0:00:02","Has anyone used them recentely"
"6/8/2018 23:54","Jaxson","0:14:10","Fixed Technical Team","Session:2057187617:2564","Customer","1","Other","Android 8.1.0","null","0:00:35","0:00:58","7/8/2018 0:11","0","Did Not Resolve","","0:00:01","I am about to book some flights to travel to Cancun next May, from London (with British Airways) to connect to a flight to Cancun (with American Airlines) how long should I leave to clear customs etc? "
"6/8/2018 23:54","Isaiah","0:01:51","Mobile Technical Team","Session:2057187640:2554","Customer","","Other","11.2.1","null","0:00:00","0:00:00","6/8/2018 23:59"," "," ","","0:00:01","traveling to Barcelona via London and Geneva from St John's, Newfoundland.  We have 2 hours and 20 minutes available. is this amount of time sufficient since we have to change terminals? "
"6/8/2018 23:54","Jocasta","0:05:09","Mobile Service Team","Session:2057187615:23265","Customer","1","Other","11.4.1","null","0:00:36","0:00:32","7/8/2018 0:01"," "," ","","0:00:01","We are on a 767 from Gatwick to Houston and on a 777 from Houston to Heathrow. The internal flights are 737. For some reason it won't allow me to book our seats online, is this normal? "
"6/8/2018 23:54","Jayar","0:08:59","Mobile Service Team","Session:2057187618:23205","Customer","1","Other","11.4","null","0:00:23","0:00:34","7/8/2018 0:04"," "," ","","0:00:01","will the points not be available until I've paid the balance? Also does anyone know roughly how many points it is to upgrade from economy to premium from London to JFK?"
"6/8/2018 23:54","Adalric","0:12:40","Mobile Service Team","Session:2057187615:23261","Customer","1","Other","10.3.1","null","0:00:23","0:00:23","7/8/2018 0:08"," "," ","","0:00:01"," advise if this website is reliable: http://www.cheapflightairs.com/"
"6/8/2018 23:54","Zawar","0:11:10","Mobile Service Team","Session:2057187615:23260","Customer","1","Other","11.4.1","null","0:00:40","0:00:49","7/8/2018 0:13"," "," ","","0:00:01","I arrive in Nairobi at 21:40 (KLM flight) and leave the next morning for JRO at 7:30 (Kenya Air flight).  Do you have to book the lounge in advance? If I am unable to access the lounge, is there somewhere in the airport I can stay? Is there somewhere to get food at that time of night? "
